,name,position,contacts_full_info,type_of_contact,links
321,Heike Baehrens,SPD,{'heike-baehrens.de': 'http://www.heike-baehrens.de'},heike-baehrens.de,http://www.heike-baehrens.de
322,Dorothee Bär,CDU/CSU,{'dorothee-baer.de': 'https://dorothee-baer.de/'},dorothee-baer.de,https://dorothee-baer.de/
323,Annalena Baerbock,Alliance 90/The Greens,{'Wahlkreis 061: Potsdam – Potsdam-Mittelmark II – Teltow-Fläming II': '?wknr=061#scroll=mod'},Wahlkreis 061: Potsdam – Potsdam-Mittelmark II – Teltow-Fläming II,?wknr=061#scroll=mod
324,Ulrike Bahr,SPD,{'Wahlkreis 252: Augsburg-Stadt': '?wknr=252#scroll=mod'},Wahlkreis 252: Augsburg-Stadt,?wknr=252#scroll=mod
325,Nezahat Baradari,SPD,"{'www.nezahat-baradari.de': 'https://www.nezahat-baradari.de/', 'Facebook': 'https://www.facebook.com/Baradari2017'}","www.nezahat-baradari.de , Facebook","https://www.nezahat-baradari.de/ , https://www.facebook.com/Baradari2017"
326,Thomas Bareiß,CDU/CSU,"{'thomas-bareiss.de': 'http://www.thomas-bareiss.de', 'Twitter': 'https://twitter.com/Thomas_Bareiss?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor', 'Facebook': 'https://www.facebook.com/thomas.bareiss', 'Instagram': 'https://www.instagram.com/thomasbareiss/'}","thomas-bareiss.de , Twitter , Facebook , Instagram","http://www.thomas-bareiss.de , https://twitter.com/Thomas_Bareiss?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor , https://www.facebook.com/thomas.bareiss , https://www.instagram.com/thomasbareiss/"
327,Katarina Barley,SPD,{'Wahlkreis 203: Trier': '?wknr=203#scroll=mod'},Wahlkreis 203: Trier,?wknr=203#scroll=mod
328,Doris Barnett,SPD,{'doris-barnett.de': 'http://www.Doris-Barnett.de'},doris-barnett.de,http://www.Doris-Barnett.de
329,Simone Barrientos,The Left Party,"{'simone-barrientos.de': 'http://simone-barrientos.de/', 'Facebook': 'https://www.facebook.com/simonebarrientosseite/'}","simone-barrientos.de , Facebook","http://simone-barrientos.de/ , https://www.facebook.com/simonebarrientosseite/"
330,Norbert Barthle,CDU/CSU,{'barthle.de': 'http://www.barthle.de'},barthle.de,http://www.barthle.de
331,Matthias Bartke,SPD,{'Wahlkreis 019: Hamburg-Altona': '?wknr=019#scroll=mod'},Wahlkreis 019: Hamburg-Altona,?wknr=019#scroll=mod
332,Sören Bartol,SPD,{'bartol.de': 'http://www.bartol.de/'},bartol.de,http://www.bartol.de/
333,Dr. Dietmar Bartsch,The Left Party,"{'dietmar-bartsch.de': 'http://www.dietmar-bartsch.de/', 'Facebook': 'http://www.facebook.com/DietmarBartschMdB/', 'Twitter': 'http://www.twitter.com/DietmarBartsch'}","dietmar-bartsch.de , Facebook , Twitter","http://www.dietmar-bartsch.de/ , http://www.facebook.com/DietmarBartschMdB/ , http://www.twitter.com/DietmarBartsch"
334,Bärbel Bas,SPD,{'baerbelbas.de': 'http://www.baerbelbas.de/'},baerbelbas.de,http://www.baerbelbas.de/
335,Nicole Bauer,FDP,"{'fdp-nicole-bauer.de': 'http://fdp-nicole-bauer.de/', 'Facebook': 'https://www.facebook.com/bauer.nicole.fdp/', 'Twitter': 'http://www.twitter.com/nicole_ae_bauer', 'Instagram': 'http://www.instagram.com/nicole_ae_bauer'}","fdp-nicole-bauer.de , Facebook , Twitter , Instagram","http://fdp-nicole-bauer.de/ , https://www.facebook.com/bauer.nicole.fdp/ , http://www.twitter.com/nicole_ae_bauer , http://www.instagram.com/nicole_ae_bauer"
336,Bernd Baumann,AfD,"{'bernd-baumann.de': 'https://www.bernd-baumann.de/', 'Twitter': 'https://twitter.com/BerndBaumannAfD', 'Facebook': 'https://www.facebook.com/Dr.Bernd.Baumann/', 'Youtube': 'https://www.youtube.com/channel/UC0gowAwNIqEOMVSuXdJHJOw'}","bernd-baumann.de , Twitter , Facebook , Youtube","https://www.bernd-baumann.de/ , https://twitter.com/BerndBaumannAfD , https://www.facebook.com/Dr.Bernd.Baumann/ , https://www.youtube.com/channel/UC0gowAwNIqEOMVSuXdJHJOw"
337,Margarete Bause,Alliance 90/The Greens,"{'margarete-bause.de': 'http://www.margarete-bause.de', 'Facebook': 'https://www.facebook.com/margarete.bause/', 'Twitter': 'https://www.twitter.com/MargareteBause'}","margarete-bause.de , Facebook , Twitter","http://www.margarete-bause.de , https://www.facebook.com/margarete.bause/ , https://www.twitter.com/MargareteBause"
338,Dr. Danyal Bayaz,Alliance 90/The Greens,{'Wahlkreis 278: Bruchsal – Schwetzingen': '?wknr=278#scroll=mod'},Wahlkreis 278: Bruchsal – Schwetzingen,?wknr=278#scroll=mod
339,Canan Bayram,Alliance 90/The Greens,"{'bayram-gruene.de': 'http://bayram-gruene.de/', 'Facebook': 'https://www.facebook.com/ErststimmeBayram/', 'Twitter': 'https://twitter.com/LieblingXhain', 'Instagram': 'https://www.instagram.com/lieblingxhain/'}","bayram-gruene.de , Facebook , Twitter , Instagram","http://bayram-gruene.de/ , https://www.facebook.com/ErststimmeBayram/ , https://twitter.com/LieblingXhain , https://www.instagram.com/lieblingxhain/"
340,Heike Baehrens,SPD,{'heike-baehrens.de': 'http://www.heike-baehrens.de'},heike-baehrens.de,http://www.heike-baehrens.de
341,Dorothee Bär,CDU/CSU,{'dorothee-baer.de': 'https://dorothee-baer.de/'},dorothee-baer.de,https://dorothee-baer.de/
342,Annalena Baerbock,Alliance 90/The Greens,{'Wahlkreis 061: Potsdam – Potsdam-Mittelmark II – Teltow-Fläming II': '?wknr=061#scroll=mod'},Wahlkreis 061: Potsdam – Potsdam-Mittelmark II – Teltow-Fläming II,?wknr=061#scroll=mod
343,Ulrike Bahr,SPD,{'Wahlkreis 252: Augsburg-Stadt': '?wknr=252#scroll=mod'},Wahlkreis 252: Augsburg-Stadt,?wknr=252#scroll=mod
344,Nezahat Baradari,SPD,"{'www.nezahat-baradari.de': 'https://www.nezahat-baradari.de/', 'Facebook': 'https://www.facebook.com/Baradari2017'}","www.nezahat-baradari.de , Facebook","https://www.nezahat-baradari.de/ , https://www.facebook.com/Baradari2017"
345,Thomas Bareiß,CDU/CSU,"{'thomas-bareiss.de': 'http://www.thomas-bareiss.de', 'Twitter': 'https://twitter.com/Thomas_Bareiss?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor', 'Facebook': 'https://www.facebook.com/thomas.bareiss', 'Instagram': 'https://www.instagram.com/thomasbareiss/'}","thomas-bareiss.de , Twitter , Facebook , Instagram","http://www.thomas-bareiss.de , https://twitter.com/Thomas_Bareiss?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor , https://www.facebook.com/thomas.bareiss , https://www.instagram.com/thomasbareiss/"
346,Katarina Barley,SPD,{'Wahlkreis 203: Trier': '?wknr=203#scroll=mod'},Wahlkreis 203: Trier,?wknr=203#scroll=mod
347,Doris Barnett,SPD,{'doris-barnett.de': 'http://www.Doris-Barnett.de'},doris-barnett.de,http://www.Doris-Barnett.de
348,Simone Barrientos,The Left Party,"{'simone-barrientos.de': 'http://simone-barrientos.de/', 'Facebook': 'https://www.facebook.com/simonebarrientosseite/'}","simone-barrientos.de , Facebook","http://simone-barrientos.de/ , https://www.facebook.com/simonebarrientosseite/"
349,Norbert Barthle,CDU/CSU,{'barthle.de': 'http://www.barthle.de'},barthle.de,http://www.barthle.de
350,Matthias Bartke,SPD,{'Wahlkreis 019: Hamburg-Altona': '?wknr=019#scroll=mod'},Wahlkreis 019: Hamburg-Altona,?wknr=019#scroll=mod
351,Sören Bartol,SPD,{'bartol.de': 'http://www.bartol.de/'},bartol.de,http://www.bartol.de/
352,Dr. Dietmar Bartsch,The Left Party,"{'dietmar-bartsch.de': 'http://www.dietmar-bartsch.de/', 'Facebook': 'http://www.facebook.com/DietmarBartschMdB/', 'Twitter': 'http://www.twitter.com/DietmarBartsch'}","dietmar-bartsch.de , Facebook , Twitter","http://www.dietmar-bartsch.de/ , http://www.facebook.com/DietmarBartschMdB/ , http://www.twitter.com/DietmarBartsch"
353,Bärbel Bas,SPD,{'baerbelbas.de': 'http://www.baerbelbas.de/'},baerbelbas.de,http://www.baerbelbas.de/
354,Nicole Bauer,FDP,"{'fdp-nicole-bauer.de': 'http://fdp-nicole-bauer.de/', 'Facebook': 'https://www.facebook.com/bauer.nicole.fdp/', 'Twitter': 'http://www.twitter.com/nicole_ae_bauer', 'Instagram': 'http://www.instagram.com/nicole_ae_bauer'}","fdp-nicole-bauer.de , Facebook , Twitter , Instagram","http://fdp-nicole-bauer.de/ , https://www.facebook.com/bauer.nicole.fdp/ , http://www.twitter.com/nicole_ae_bauer , http://www.instagram.com/nicole_ae_bauer"
355,Bernd Baumann,AfD,"{'bernd-baumann.de': 'https://www.bernd-baumann.de/', 'Twitter': 'https://twitter.com/BerndBaumannAfD', 'Facebook': 'https://www.facebook.com/Dr.Bernd.Baumann/', 'Youtube': 'https://www.youtube.com/channel/UC0gowAwNIqEOMVSuXdJHJOw'}","bernd-baumann.de , Twitter , Facebook , Youtube","https://www.bernd-baumann.de/ , https://twitter.com/BerndBaumannAfD , https://www.facebook.com/Dr.Bernd.Baumann/ , https://www.youtube.com/channel/UC0gowAwNIqEOMVSuXdJHJOw"
356,Margarete Bause,Alliance 90/The Greens,"{'margarete-bause.de': 'http://www.margarete-bause.de', 'Facebook': 'https://www.facebook.com/margarete.bause/', 'Twitter': 'https://www.twitter.com/MargareteBause'}","margarete-bause.de , Facebook , Twitter","http://www.margarete-bause.de , https://www.facebook.com/margarete.bause/ , https://www.twitter.com/MargareteBause"
357,Dr. Danyal Bayaz,Alliance 90/The Greens,{'Wahlkreis 278: Bruchsal – Schwetzingen': '?wknr=278#scroll=mod'},Wahlkreis 278: Bruchsal – Schwetzingen,?wknr=278#scroll=mod
