,book_title,author,link,price_no_disc,price_with_disc
613,Python Crash Course for Experts: The Complete Guide to Learn...,Brian S. Downey,https://bookshop.org//books/python-crash-course-for-experts-the-complete-guide-to-learn-expert-concepts-advanced-python-programming-to-learn-and-effectively-understand-python-p/9781801140287,$19.97,$18.37
614,Monty Python Black Knight Expansion,,https://bookshop.org//books/monty-python-black-knight-expansion/0857848004727,$5.00,$4.60
615,Hands-On One-shot Learning with Python,Ankush Garg and Shruti Jadon,https://bookshop.org//books/hands-on-one-shot-learning-with-python/9781838825461,$47.99,$47.99
616,Deep Learning from Scratch: Building with Python from First...,Seth Weidman,https://bookshop.org//books/deep-learning-from-scratch-building-with-python-from-first-principles/9781492041412,$59.99,$55.19
617,Machine Learning and Deep Learning Using Python and Tensorflow,Shailendra Kadre and Venkata Reddy Konasani,https://bookshop.org//books/machine-learning-and-deep-learning-using-python-and-tensorflow/9781260462296,$99.00,$99.00
618,Practical Cryptography in Python: Learning Correct...,Christopher K. Monson and Seth James Nielson,https://bookshop.org//books/practical-cryptography-in-python-learning-correct-cryptography-by-example/9781484248997,$44.99,$41.39
619,Python Programming for Beginners - 5 in 1 Crash Course:...,Martin Evans,https://bookshop.org//books/python-programming-for-beginners-5-in-1-crash-course-unlock-the-huge-possibilities-of-python-with-practical-applications-to-data-analysis-algorith-9791280320834/9791280320834,$31.95,$29.39
620,Data Science: 2 Books in 1: Python Programming & Python for...,John Russel,https://bookshop.org//books/data-science-2-books-in-1-python-programming-python-for-data-science-the-ultimate-guide-to-learn-machine-learning-and-predictiv-9781913922931/9781913922931,$29.97,$27.57
621,Learn Python Programming for Beginners: The Best Step-by-Step...,Flynn Fisher,https://bookshop.org//books/learn-python-programming-for-beginners-the-best-step-by-step-guide-for-coding-with-python-great-for-kids-and-adults-includes-practical-exercises-on/9781800761667,$11.99,$11.99
622,Make Python Talk: Build Apps with Voice Control and Speech...,Mark Liu,https://bookshop.org//books/make-python-talk-build-apps-with-voice-control-and-speech-recognition/9781718501560,$34.99,$32.19
623,Codey B and the Python's Code: The Boy Who Coded The World,Jacob Güembes and R. a. Güembes,https://bookshop.org//books/codey-b-and-the-python-s-code-the-boy-who-coded-the-world-9781736815106/9781736815106,$14.99,$14.99
624,Computer Programming Crash Course: 7 Books in 1- Coding...,Julian James McKinnon,https://bookshop.org//books/computer-programming-crash-course-7-books-in-1-coding-languages-for-beginners-c-c-sql-python-data-science-for-python-raspberry-pi-and-ardui/9781801235082,$43.33,$39.86
625,Applied Computational Thinking with Python: Design...,Sofía de Jesús and Dayrene Martinez,https://bookshop.org//books/applied-computational-thinking-with-python-design-algorithmic-solutions-for-complex-and-challenging-real-world-problems/9781839219436,$47.99,$47.99
626,Python: The Python QuickStart Guide - The Ultimate Guide to...,Ethan Sanders,https://bookshop.org//books/python-the-python-quickstart-guide-the-ultimate-guide-to-python-programming/9781534722682,$16.99,$16.99
627,Python Basics: Python Programming Net Intermediate: Python...,Ahmad Angellotti,https://bookshop.org//books/python-basics-python-programming-net-intermediate-python-professional-programming/9798746085788,$8.99,$8.99
628,Numerical Python: Scientific Computing and Data Science...,Robert Johansson,https://bookshop.org//books/numerical-python-scientific-computing-and-data-science-applications-with-numpy-scipy-and-matplotlib/9781484242452,$54.99,$50.59
629,Practical Python Programming for IoT: Build advanced IoT...,Gary Smart,https://bookshop.org//books/practical-python-programming-for-iot-build-advanced-iot-projects-using-a-raspberry-pi-4-mqtt-restful-apis-websockets-and-python-3/9781838982461,$47.99,$47.99
630,Monty Python's Flying Circus: Hidden Treasures,Adrian Besley,https://bookshop.org//books/monty-python-s-flying-circus-hidden-treasures/9781419724442,$40.00,$40.00
631,Writing Interpreters and Compilers for the Raspberry Pi Using...,Anthony J. Dos Reis,https://bookshop.org//books/writing-interpreters-and-compilers-for-the-raspberry-pi-using-python-9781977509208/9781977509208,$27.95,$27.95
632,Computers and Information Processing for Business: Microsoft...,Sergio S. Ribeiro,https://bookshop.org//books/computers-and-information-processing-for-business-microsoft-office-2019-and-python/9781952538605,$24.99,$22.99
